Feature number,AUC
23.00000,0.78788
14.00000,0.73485
23.00000,0.79545
22.00000,0.78030
25.00000,0.79545
17.00000,0.81061
23.00000,0.78030
24.00000,0.78030
24.00000,0.78788
20.00000,0.75758
