Feature number,AUC
15.00000,0.78793
12.00000,0.81078
15.00000,0.74957
17.00000,0.71207
13.00000,0.75086
16.00000,0.74957
13.00000,0.84612
12.00000,0.80991
13.00000,0.76983
14.00000,0.75043
