Feature number,AUC
1.00000,0.68879
2.00000,0.72091
3.00000,0.73341
4.00000,0.78046
5.00000,0.73362
6.00000,0.81379
7.00000,0.76422
9.00000,0.75647
10.00000,0.81983
11.00000,0.79267
