SelectionRatio,FeatureID
0.28571,1.00000
0.00000,1.00000
0.00000,1.00000
0.25000,1.00000
0.20000,1.00000
0.20000,1.00000
0.40000,1.00000
0.20000,1.00000
0.40000,1.00000
0.44444,1.00000
0.33333,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.25000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.33333,1.00000
0.50000,1.00000
0.12500,1.00000
0.33333,1.00000
0.20000,1.00000
0.25000,1.00000
0.50000,1.00000
0.44444,1.00000
0.00000,1.00000
0.25000,1.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.20000,2.00000
0.00000,2.00000
0.00000,2.00000
0.20000,2.00000
0.44444,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.25000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.50000,2.00000
0.16667,2.00000
0.25000,2.00000
0.16667,2.00000
0.60000,2.00000
0.25000,2.00000
0.00000,2.00000
0.33333,2.00000
0.33333,2.00000
0.37500,2.00000
0.00000,3.00000
0.00000,3.00000
0.00000,3.00000
0.00000,3.00000
0.20000,3.00000
0.20000,3.00000
0.20000,3.00000
0.00000,3.00000
0.20000,3.00000
0.11111,3.00000
0.00000,3.00000
0.00000,3.00000
0.33333,3.00000
0.00000,3.00000
0.00000,3.00000
0.25000,3.00000
0.33333,3.00000
0.00000,3.00000
0.00000,3.00000
0.00000,3.00000
0.33333,3.00000
0.16667,3.00000
0.00000,3.00000
0.16667,3.00000
0.40000,3.00000
0.37500,3.00000
0.00000,3.00000
0.22222,3.00000
0.00000,3.00000
0.50000,3.00000
0.00000,4.00000
0.00000,4.00000
0.60000,4.00000
0.00000,4.00000
0.00000,4.00000
0.20000,4.00000
0.00000,4.00000
0.00000,4.00000
0.20000,4.00000
0.00000,4.00000
0.00000,4.00000
0.33333,4.00000
0.00000,4.00000
0.00000,4.00000
0.00000,4.00000
0.00000,4.00000
0.00000,4.00000
0.00000,4.00000
0.00000,4.00000
0.00000,4.00000
0.16667,4.00000
0.50000,4.00000
0.12500,4.00000
0.33333,4.00000
0.20000,4.00000
0.25000,4.00000
0.16667,4.00000
0.33333,4.00000
0.16667,4.00000
0.50000,4.00000
0.00000,5.00000
0.00000,5.00000
0.20000,5.00000
0.25000,5.00000
0.40000,5.00000
0.20000,5.00000
0.40000,5.00000
0.60000,5.00000
0.20000,5.00000
0.33333,5.00000
0.00000,5.00000
0.00000,5.00000
0.00000,5.00000
0.00000,5.00000
0.00000,5.00000
0.25000,5.00000
0.00000,5.00000
0.00000,5.00000
0.00000,5.00000
0.00000,5.00000
0.16667,5.00000
0.33333,5.00000
0.37500,5.00000
0.33333,5.00000
0.20000,5.00000
0.37500,5.00000
0.33333,5.00000
0.22222,5.00000
0.16667,5.00000
0.37500,5.00000
0.42857,6.00000
0.33333,6.00000
0.20000,6.00000
0.25000,6.00000
0.20000,6.00000
0.40000,6.00000
0.40000,6.00000
0.40000,6.00000
0.20000,6.00000
0.11111,6.00000
0.00000,6.00000
0.00000,6.00000
0.00000,6.00000
0.00000,6.00000
0.00000,6.00000
0.25000,6.00000
0.00000,6.00000
0.00000,6.00000
0.00000,6.00000
0.00000,6.00000
0.16667,6.00000
0.00000,6.00000
0.25000,6.00000
0.00000,6.00000
0.20000,6.00000
0.12500,6.00000
0.33333,6.00000
0.44444,6.00000
0.00000,6.00000
0.12500,6.00000
0.00000,7.00000
0.00000,7.00000
0.00000,7.00000
0.00000,7.00000
0.00000,7.00000
0.00000,7.00000
0.00000,7.00000
0.20000,7.00000
0.00000,7.00000
