SelectionRatio,FeatureID
0.25000,1.00000
0.25000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.25000,1.00000
0.16667,1.00000
0.00000,1.00000
0.00000,1.00000
0.33333,1.00000
0.42857,1.00000
0.42857,1.00000
0.16667,1.00000
0.22222,1.00000
0.28571,1.00000
0.33333,1.00000
0.12500,1.00000
0.00000,1.00000
0.14286,1.00000
0.33333,1.00000
0.20000,1.00000
0.60000,1.00000
0.33333,1.00000
0.25000,1.00000
0.00000,1.00000
0.33333,1.00000
0.50000,1.00000
0.00000,1.00000
0.33333,1.00000
0.16667,1.00000
0.16667,1.00000
0.33333,1.00000
0.28571,1.00000
0.33333,1.00000
0.16667,1.00000
0.25000,1.00000
0.44444,1.00000
0.40000,1.00000
0.20000,1.00000
0.16667,1.00000
0.33333,1.00000
0.28571,1.00000
0.40000,1.00000
0.57143,1.00000
0.57143,1.00000
0.50000,1.00000
0.50000,1.00000
0.55556,1.00000
0.28571,1.00000
0.20000,1.00000
0.00000,1.00000
0.57143,1.00000
0.00000,1.00000
0.40000,1.00000
0.25000,1.00000
0.14286,1.00000
0.40000,1.00000
0.20000,1.00000
0.20000,1.00000
0.87500,1.00000
0.50000,1.00000
0.25000,1.00000
0.50000,1.00000
0.57143,1.00000
0.25000,1.00000
0.66667,1.00000
0.33333,1.00000
0.57143,1.00000
0.16667,1.00000
0.66667,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.66667,1.00000
0.25000,1.00000
0.33333,1.00000
0.75000,1.00000
0.60000,1.00000
0.75000,1.00000
0.50000,1.00000
0.50000,1.00000
0.60000,1.00000
0.50000,1.00000
0.75000,1.00000
0.66667,1.00000
0.66667,1.00000
0.50000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.00000,1.00000
0.25000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.16667,2.00000
0.00000,2.00000
0.00000,2.00000
0.77778,2.00000
0.28571,2.00000
0.42857,2.00000
0.50000,2.00000
0.55556,2.00000
0.57143,2.00000
0.50000,2.00000
0.75000,2.00000
0.66667,2.00000
0.42857,2.00000
0.33333,2.00000
0.40000,2.00000
0.40000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.33333,2.00000
0.50000,2.00000
0.50000,2.00000
0.11111,2.00000
0.57143,2.00000
0.33333,2.00000
0.50000,2.00000
0.50000,2.00000
0.55556,2.00000
0.80000,2.00000
0.80000,2.00000
0.50000,2.00000
0.66667,2.00000
0.42857,2.00000
0.20000,2.00000
0.71429,2.00000
0.85714,2.00000
0.66667,2.00000
0.62500,2.00000
0.66667,2.00000
0.71429,2.00000
0.60000,2.00000
0.25000,2.00000
0.57143,2.00000
0.16667,2.00000
0.20000,2.00000
0.50000,2.00000
0.42857,2.00000
0.00000,2.00000
0.40000,2.00000
0.20000,2.00000
0.25000,2.00000
0.16667,2.00000
0.37500,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.16667,2.00000
0.00000,2.00000
0.14286,2.00000
0.16667,2.00000
0.33333,2.00000
0.00000,2.00000
0.50000,2.00000
0.00000,2.00000
0.00000,2.00000
0.33333,2.00000
0.33333,2.00000
0.00000,2.00000
0.66667,2.00000
0.25000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.33333,2.00000
0.50000,2.00000
0.50000,2.00000
0.66667,2.00000
0.00000,2.00000
0.25000,2.00000
0.50000,2.00000
0.50000,2.00000
0.00000,2.00000
0.60000,2.00000
0.25000,3.00000
0.25000,3.00000
0.50000,3.00000
0.00000,3.00000
0.25000,3.00000
0.00000,3.00000
0.00000,3.00000
0.33333,3.00000
0.40000,3.00000
0.00000,3.00000
0.44444,3.00000
0.57143,3.00000
0.14286,3.00000
0.33333,3.00000
0.33333,3.00000
0.71429,3.00000
0.00000,3.00000
0.25000,3.00000
0.66667,3.00000
0.42857,3.00000
0.00000,3.00000
0.20000,3.00000
0.40000,3.00000
0.33333,3.00000
0.50000,3.00000
0.00000,3.00000
0.00000,3.00000
0.00000,3.00000
0.66667,3.00000
0.66667,3.00000
0.00000,3.00000
0.33333,3.00000
0.44444,3.00000
0.28571,3.00000
0.33333,3.00000
0.33333,3.00000
0.25000,3.00000
0.00000,3.00000
0.20000,3.00000
0.20000,3.00000
0.50000,3.00000
0.16667,3.00000
0.28571,3.00000
0.40000,3.00000
0.71429,3.00000
0.28571,3.00000
0.16667,3.00000
0.12500,3.00000
0.11111,3.00000
0.14286,3.00000
0.20000,3.00000
0.00000,3.00000
0.57143,3.00000
0.16667,3.00000
0.00000,3.00000
0.25000,3.00000
0.14286,3.00000
0.20000,3.00000
0.40000,3.00000
0.40000,3.00000
0.12500,3.00000
0.50000,3.00000
0.12500,3.00000
0.16667,3.00000
0.14286,3.00000
0.00000,3.00000
0.00000,3.00000
0.16667,3.00000
0.57143,3.00000
0.50000,3.00000
0.33333,3.00000
0.33333,3.00000
0.00000,3.00000
0.00000,3.00000
0.00000,3.00000
0.00000,3.00000
0.00000,3.00000
0.25000,3.00000
0.33333,3.00000
0.50000,3.00000
0.40000,3.00000
0.00000,3.00000
0.25000,3.00000
0.25000,3.00000
0.40000,3.00000
0.25000,3.00000
0.37500,3.00000
0.00000,3.00000
0.33333,3.00000
0.00000,3.00000
0.00000,3.00000
0.00000,3.00000
0.00000,3.00000
0.00000,3.00000
0.33333,3.00000
0.25000,3.00000
0.00000,3.00000
