Feature number,AUC
34.00000,0.78433
31.00000,0.76456
24.00000,0.77579
32.00000,0.76556
30.00000,0.78889
31.00000,0.77148
27.00000,0.76690
32.00000,0.78249
35.00000,0.78489
30.00000,0.77738
