Feature number,AUC
3.00000,0.73004
2.00000,0.71245
2.00000,0.74908
3.00000,0.68901
2.00000,0.74908
5.00000,0.78608
2.00000,0.74908
2.00000,0.70073
4.00000,0.70073
3.00000,0.70586
