Feature number,AUC
18.00000,0.77143
8.00000,0.68168
9.00000,0.75201
14.00000,0.78205
12.00000,0.71465
17.00000,0.76740
10.00000,0.70586
9.00000,0.68132
17.00000,0.73297
15.00000,0.77619
