Feature number,AUC
8.00000,0.72088
9.00000,0.70147
10.00000,0.67033
9.00000,0.74799
8.00000,0.70952
7.00000,0.76703
6.00000,0.56447
11.00000,0.68022
10.00000,0.73773
6.00000,0.76703
