Feature number,AUC
8.00000,0.80539
4.00000,0.77637
7.00000,0.77954
9.00000,0.81557
10.00000,0.81186
10.00000,0.80408
6.00000,0.81277
3.00000,0.78054
7.00000,0.82504
6.00000,0.79393
