GFS,GBS,SOFS,Full,MOFES
39.71100,447.85700,436.01600,0.00000,373.51300
192.55600,2751.89300,2956.84800,0.00000,2549.09400
167.81900,3210.61900,2398.39100,0.00000,2046.80600
1148.48300,9862.65100,10099.93700,0.00000,8861.61500
586.10800,7011.13500,7132.44000,0.00000,6259.26000
