SelectionRatio,FeatureID
0.25000,1.00000
0.33333,1.00000
0.57143,1.00000
0.50000,1.00000
0.20000,1.00000
0.36364,1.00000
0.25000,1.00000
0.40000,1.00000
0.30000,1.00000
0.63636,1.00000
0.50000,1.00000
0.00000,1.00000
0.11111,1.00000
0.42857,1.00000
0.00000,1.00000
0.40000,1.00000
0.50000,1.00000
0.25000,1.00000
0.00000,1.00000
0.20000,1.00000
0.14286,1.00000
0.42857,1.00000
0.44444,1.00000
0.33333,1.00000
0.50000,1.00000
0.50000,1.00000
0.50000,1.00000
0.28571,1.00000
0.50000,1.00000
0.50000,1.00000
0.33333,1.00000
0.55556,1.00000
0.45455,1.00000
0.44444,1.00000
0.20000,1.00000
0.41667,1.00000
0.42857,1.00000
0.37500,1.00000
0.71429,1.00000
0.25000,1.00000
0.10000,1.00000
0.50000,1.00000
0.22222,1.00000
0.40000,1.00000
0.50000,1.00000
0.20000,1.00000
0.28571,1.00000
0.18182,1.00000
0.33333,1.00000
0.42857,1.00000
0.00000,2.00000
0.00000,2.00000
0.14286,2.00000
0.33333,2.00000
0.10000,2.00000
0.09091,2.00000
0.00000,2.00000
0.20000,2.00000
0.20000,2.00000
0.18182,2.00000
0.12500,2.00000
0.00000,2.00000
0.33333,2.00000
0.14286,2.00000
0.40000,2.00000
0.40000,2.00000
0.25000,2.00000
0.00000,2.00000
0.00000,2.00000
0.00000,2.00000
0.14286,2.00000
0.42857,2.00000
0.00000,2.00000
0.33333,2.00000
0.00000,2.00000
0.12500,2.00000
0.33333,2.00000
0.28571,2.00000
0.16667,2.00000
0.16667,2.00000
0.33333,2.00000
0.22222,2.00000
0.54545,2.00000
0.44444,2.00000
0.40000,2.00000
0.33333,2.00000
0.42857,2.00000
0.50000,2.00000
0.28571,2.00000
0.25000,2.00000
0.40000,2.00000
0.16667,2.00000
0.44444,2.00000
0.60000,2.00000
0.50000,2.00000
0.00000,2.00000
0.35714,2.00000
0.45455,2.00000
0.33333,2.00000
0.14286,2.00000
0.00000,3.00000
0.00000,3.00000
0.14286,3.00000
0.50000,3.00000
0.20000,3.00000
0.18182,3.00000
0.25000,3.00000
0.00000,3.00000
0.20000,3.00000
0.18182,3.00000
0.25000,3.00000
0.33333,3.00000
0.44444,3.00000
0.28571,3.00000
0.40000,3.00000
0.20000,3.00000
0.50000,3.00000
0.25000,3.00000
0.25000,3.00000
0.00000,3.00000
0.42857,3.00000
0.42857,3.00000
0.44444,3.00000
0.44444,3.00000
0.50000,3.00000
0.37500,3.00000
0.33333,3.00000
0.57143,3.00000
0.33333,3.00000
0.16667,3.00000
0.16667,3.00000
0.44444,3.00000
0.27273,3.00000
0.55556,3.00000
0.20000,3.00000
0.50000,3.00000
0.28571,3.00000
0.25000,3.00000
0.14286,3.00000
0.25000,3.00000
0.00000,3.00000
0.33333,3.00000
0.33333,3.00000
0.40000,3.00000
0.16667,3.00000
0.20000,3.00000
0.57143,3.00000
0.18182,3.00000
0.50000,3.00000
0.14286,3.00000
0.25000,4.00000
0.33333,4.00000
0.42857,4.00000
0.16667,4.00000
0.40000,4.00000
0.18182,4.00000
0.00000,4.00000
0.40000,4.00000
0.20000,4.00000
0.18182,4.00000
0.50000,4.00000
0.00000,4.00000
0.44444,4.00000
0.28571,4.00000
0.00000,4.00000
0.40000,4.00000
0.00000,4.00000
0.37500,4.00000
0.00000,4.00000
0.20000,4.00000
0.28571,4.00000
0.42857,4.00000
0.33333,4.00000
0.22222,4.00000
0.16667,4.00000
0.37500,4.00000
0.16667,4.00000
0.14286,4.00000
0.33333,4.00000
0.16667,4.00000
0.16667,4.00000
0.11111,4.00000
0.36364,4.00000
0.22222,4.00000
0.00000,4.00000
0.16667,4.00000
0.00000,4.00000
0.50000,4.00000
0.42857,4.00000
0.37500,4.00000
0.30000,4.00000
0.33333,4.00000
0.22222,4.00000
0.20000,4.00000
0.66667,4.00000
0.40000,4.00000
0.50000,4.00000
0.72727,4.00000
0.58333,4.00000
0.28571,4.00000
0.25000,5.00000
0.00000,5.00000
0.14286,5.00000
0.50000,5.00000
0.30000,5.00000
0.09091,5.00000
0.25000,5.00000
0.20000,5.00000
0.20000,5.00000
0.36364,5.00000
0.25000,5.00000
0.00000,5.00000
0.33333,5.00000
0.14286,5.00000
0.00000,5.00000
0.00000,5.00000
0.25000,5.00000
0.25000,5.00000
0.25000,5.00000
0.20000,5.00000
0.28571,5.00000
0.00000,5.00000
0.33333,5.00000
0.11111,5.00000
0.33333,5.00000
0.00000,5.00000
0.16667,5.00000
0.28571,5.00000
0.33333,5.00000
0.16667,5.00000
0.00000,5.00000
0.11111,5.00000
0.45455,5.00000
0.22222,5.00000
0.20000,5.00000
0.41667,5.00000
0.42857,5.00000
0.25000,5.00000
0.57143,5.00000
0.12500,5.00000
0.40000,5.00000
0.33333,5.00000
0.33333,5.00000
0.20000,5.00000
0.00000,5.00000
0.00000,5.00000
0.14286,5.00000
0.36364,5.00000
0.00000,5.00000
0.42857,5.00000
0.37500,6.00000
0.16667,6.00000
0.14286,6.00000
0.16667,6.00000
0.30000,6.00000
0.09091,6.00000
0.00000,6.00000
0.40000,6.00000
0.20000,6.00000
0.36364,6.00000
0.25000,6.00000
0.00000,6.00000
0.44444,6.00000
0.28571,6.00000
0.40000,6.00000
0.00000,6.00000
0.25000,6.00000
0.12500,6.00000
0.00000,6.00000
0.20000,6.00000
0.14286,6.00000
0.28571,6.00000
0.11111,6.00000
0.11111,6.00000
0.33333,6.00000
0.37500,6.00000
0.16667,6.00000
0.00000,6.00000
0.33333,6.00000
0.16667,6.00000
0.00000,6.00000
0.33333,6.00000
0.27273,6.00000
0.33333,6.00000
0.00000,6.00000
0.16667,6.00000
0.28571,6.00000
0.00000,6.00000
0.00000,6.00000
0.25000,6.00000
0.20000,6.00000
0.33333,6.00000
0.22222,6.00000
0.20000,6.00000
0.33333,6.00000
0.00000,6.00000
0.50000,6.00000
0.00000,6.00000
0.33333,6.00000
0.28571,6.00000
0.50000,7.00000
0.16667,7.00000
0.14286,7.00000
0.33333,7.00000
0.50000,7.00000
0.36364,7.00000
0.00000,7.00000
0.20000,7.00000
0.30000,7.00000
0.18182,7.00000
0.37500,7.00000
0.33333,7.00000
0.33333,7.00000
0.28571,7.00000
0.20000,7.00000
0.20000,7.00000
0.25000,7.00000
0.37500,7.00000
0.50000,7.00000
0.00000,7.00000
0.57143,7.00000
0.28571,7.00000
0.44444,7.00000
0.22222,7.00000
0.16667,7.00000
0.12500,7.00000
0.33333,7.00000
0.42857,7.00000
0.00000,7.00000
0.16667,7.00000
0.16667,7.00000
0.33333,7.00000
0.36364,7.00000
0.22222,7.00000
0.20000,7.00000
0.41667,7.00000
0.14286,7.00000
0.12500,7.00000
0.28571,7.00000
0.12500,7.00000
0.20000,7.00000
0.00000,7.00000
0.33333,7.00000
0.20000,7.00000
0.33333,7.00000
0.00000,7.00000
0.35714,7.00000
0.00000,7.00000
0.41667,7.00000
0.14286,7.00000
0.25000,8.00000
0.16667,8.00000
0.28571,8.00000
0.16667,8.00000
0.40000,8.00000
0.27273,8.00000
0.00000,8.00000
0.20000,8.00000
0.50000,8.00000
0.36364,8.00000
0.25000,8.00000
0.33333,8.00000
0.44444,8.00000
0.28571,8.00000
0.40000,8.00000
0.00000,8.00000
0.25000,8.00000
0.25000,8.00000
0.25000,8.00000
0.00000,8.00000
0.28571,8.00000
0.57143,8.00000
0.22222,8.00000
0.33333,8.00000
0.00000,8.00000
0.37500,8.00000
0.00000,8.00000
0.28571,8.00000
0.00000,8.00000
0.00000,8.00000
0.16667,8.00000
0.22222,8.00000
0.18182,8.00000
0.11111,8.00000
0.00000,8.00000
0.16667,8.00000
0.00000,8.00000
0.25000,8.00000
0.42857,8.00000
0.12500,8.00000
0.20000,8.00000
0.16667,8.00000
0.44444,8.00000
0.40000,8.00000
0.33333,8.00000
0.00000,8.00000
0.07143,8.00000
0.27273,8.00000
0.33333,8.00000
0.28571,8.00000
0.12500,9.00000
0.00000,9.00000
0.42857,9.00000
0.16667,9.00000
0.20000,9.00000
0.18182,9.00000
0.00000,9.00000
0.00000,9.00000
0.20000,9.00000
0.00000,9.00000
0.37500,9.00000
0.33333,9.00000
0.44444,9.00000
0.28571,9.00000
0.00000,9.00000
0.00000,9.00000
0.50000,9.00000
0.12500,9.00000
0.50000,9.00000
0.00000,9.00000
0.42857,9.00000
0.28571,9.00000
0.11111,9.00000
0.22222,9.00000
0.00000,9.00000
0.25000,9.00000
0.00000,9.00000
0.14286,9.00000
0.50000,9.00000
0.00000,9.00000
0.33333,9.00000
0.33333,9.00000
0.18182,9.00000
0.00000,9.00000
0.00000,9.00000
0.16667,9.00000
0.28571,9.00000
0.12500,9.00000
0.14286,9.00000
0.00000,9.00000
0.40000,9.00000
0.16667,9.00000
0.22222,9.00000
0.00000,9.00000
0.16667,9.00000
0.00000,9.00000
0.35714,9.00000
0.00000,9.00000
0.33333,9.00000
0.28571,9.00000
0.50000,10.00000
0.00000,10.00000
0.42857,10.00000
0.00000,10.00000
0.30000,10.00000
0.09091,10.00000
0.00000,10.00000
0.00000,10.00000
0.20000,10.00000
0.27273,10.00000
0.12500,10.00000
0.33333,10.00000
0.33333,10.00000
0.28571,10.00000
0.40000,10.00000
0.20000,10.00000
0.00000,10.00000
0.50000,10.00000
0.00000,10.00000
0.20000,10.00000
0.14286,10.00000
0.28571,10.00000
0.33333,10.00000
0.33333,10.00000
0.33333,10.00000
0.25000,10.00000
0.50000,10.00000
0.28571,10.00000
0.33333,10.00000
0.33333,10.00000
0.16667,10.00000
0.11111,10.00000
0.27273,10.00000
0.00000,10.00000
0.20000,10.00000
0.16667,10.00000
0.14286,10.00000
0.12500,10.00000
0.28571,10.00000
0.25000,10.00000
0.30000,10.00000
0.16667,10.00000
0.33333,10.00000
0.20000,10.00000
0.50000,10.00000
0.20000,10.00000
0.35714,10.00000
0.36364,10.00000
0.25000,10.00000
