Feature number,AUC
3.00000,0.70597
7.00000,0.64373
4.00000,0.70280
5.00000,0.64864
6.00000,0.68780
6.00000,0.76703
7.00000,0.68711
7.00000,0.70028
6.00000,0.69716
5.00000,0.69367
