Feature number,AUC
34.00000,0.73413
29.00000,0.67855
38.00000,0.72340
29.00000,0.66656
30.00000,0.72989
26.00000,0.70694
32.00000,0.68711
36.00000,0.71118
32.00000,0.73265
30.00000,0.72520
