Feature number,AUC
1.00000,0.65453
2.00000,0.69923
11.00000,0.70619
22.00000,0.71437
24.00000,0.72447
26.00000,0.73011
27.00000,0.73048
30.00000,0.71226
31.00000,0.72121
32.00000,0.72557
33.00000,0.74446
35.00000,0.72041
