Feature number,AUC
40.00000,0.74663
52.00000,0.72555
45.00000,0.73608
42.00000,0.73480
55.00000,0.71343
47.00000,0.71414
50.00000,0.68888
44.00000,0.73091
53.00000,0.74606
49.00000,0.73143
